"Test ID","Summary","Description","Precondition","Test Steps","Expected Result","Priority","Labels / Components","Test Type","PRD Source","Confidence","Status"
"TC-001","Successful login with valid email and password","Verify a registered user can log in using valid email and password credentials.","User has a registered VWO account. Browser open at app.vwo.com.","1. Navigate to app.vwo.com
2. Enter valid registered email
3. Enter correct password
4. Click login/submit button","User is authenticated and redirected to the personalized VWO dashboard.","Critical","Authentication","Functional","PRD §Functional Requirements – Login Process","Verified","To Do"
"TC-002","Login fails with invalid password","Verify login is rejected when correct email is used with a wrong password.","User has a registered VWO account. Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Enter valid registered email
3. Enter incorrect password
4. Click login/submit button","Authentication fails. Clear actionable error message is displayed. User remains on login page.","Critical","Authentication, Error Handling","Negative","PRD §User Input Validation – Error Handling","Verified","To Do"
"TC-003","Login fails with unregistered email address","Verify login is rejected when an email not associated with any account is entered.","Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Enter unregistered email
3. Enter any password
4. Click login/submit button","Authentication fails. Clear actionable error message is displayed.","High","Authentication, Error Handling","Negative","PRD §User Input Validation – Error Handling","Verified","To Do"
"TC-004","Login blocked with empty email field","Verify form submission is blocked when the email field is empty.","Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Leave email field empty
3. Enter any value in password
4. Attempt to submit form","Form submission is blocked. Validation error displayed on email field.","High","Authentication, Validation","Negative","PRD §User Input Validation – Real-time Validation","Verified","To Do"
"TC-005","Login blocked with empty password field","Verify form submission is blocked when the password field is empty.","Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Enter valid email
3. Leave password field empty
4. Attempt to submit form","Form submission is blocked. Validation error displayed on password field.","High","Authentication, Validation","Negative","PRD §User Input Validation – Real-time Validation","Verified","To Do"
"TC-006","Email field validates format on blur","Verify real-time email format validation triggers when focus leaves the email field.","Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Click into email field
3. Enter invalid format (e.g. userATdomain)
4. Click outside email field (blur event)","Inline validation error indicating invalid email format is displayed immediately after blur.","High","Validation, UX","Functional","PRD §User Input Validation – Real-time Validation, Email Format Verification","Verified","To Do"
"TC-007","Email field accepts valid email format","Verify a properly formatted email passes format validation.","Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Enter valid email (e.g. user@domain.com)
3. Click outside the email field","No validation error displayed for the email field.","Medium","Validation","Functional","PRD §User Input Validation – Email Format Verification","Verified","To Do"
"TC-008","Remember Me checkbox is present on login page","Verify a Remember Me checkbox exists on the login form.","Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Inspect login form for a Remember Me checkbox","A Remember Me checkbox is visible on the login form.","Medium","Authentication, UX","UI Verification","PRD §Existing Features – Remember Me Functionality","Verified","To Do"
"TC-009","Remember Me persists session across browser restart","Verify checking Remember Me results in a persistent login session.","User has valid credentials. Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Enter valid credentials
3. Check Remember Me checkbox
4. Log in successfully
5. Close and reopen the browser
6. Navigate to app.vwo.com","User session is persisted; user is not required to log in again.","High","Authentication, Session Management","Functional","PRD §Remember Me Functionality; §Session Management","Verified","To Do"
"TC-010","Forgot Password link is present on login page","Verify a Forgot Password link is accessible from the login page.","Browser at app.vwo.com.","1. Navigate to app.vwo.com
2. Inspect login page for a Forgot Password link","A Forgot Password link or button is visible on the login page.","High","Password Management","UI Verification","PRD §Password Management – Forgot Password Flow","Verified","To Do"
